127.0.0.1 - - [03/Feb/2026:19:42:40 +0100] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [03/Feb/2026:19:42:52 +0100] "GET /faculty-app/ HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [03/Feb/2026:19:42:52 +0100] "GET /faculty-app/css/style.css HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [03/Feb/2026:19:42:52 +0100] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Feb/2026:19:43:45 +0100] "POST /faculty-app/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Feb/2026:19:43:45 +0100] "GET /faculty-app/main HTTP/1.1" 200 2798
0:0:0:0:0:0:0:1 - - [03/Feb/2026:19:43:51 +0100] "GET /faculty-app/companies HTTP/1.1" 200 7029
0:0:0:0:0:0:0:1 - - [03/Feb/2026:19:43:55 +0100] "GET /faculty-app/companies?toggle=2 HTTP/1.1" 200 7033
0:0:0:0:0:0:0:1 - - [03/Feb/2026:19:43:56 +0100] "GET /faculty-app/companies?toggle=2 HTTP/1.1" 200 7029
0:0:0:0:0:0:0:1 - - [03/Feb/2026:19:43:58 +0100] "GET /faculty-app/companies?edit=2 HTTP/1.1" 200 7132
0:0:0:0:0:0:0:1 - - [03/Feb/2026:19:44:02 +0100] "POST /faculty-app/companies HTTP/1.1" 200 7033
0:0:0:0:0:0:0:1 - - [03/Feb/2026:19:44:07 +0100] "GET /faculty-app/companies?edit=2 HTTP/1.1" 200 7136
0:0:0:0:0:0:0:1 - - [03/Feb/2026:19:46:00 +0100] "GET /faculty-app/companies HTTP/1.1" 200 7033
0:0:0:0:0:0:0:1 - - [03/Feb/2026:19:46:06 +0100] "POST /faculty-app/companies HTTP/1.1" 200 8072
0:0:0:0:0:0:0:1 - - [03/Feb/2026:19:46:18 +0100] "GET /faculty-app/internships?delete=6 HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [03/Feb/2026:19:47:04 +0100] "GET /faculty-app/companies HTTP/1.1" 200 6772
0:0:0:0:0:0:0:1 - - [03/Feb/2026:19:48:52 +0100] "GET /faculty-app/ HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [03/Feb/2026:19:48:52 +0100] "GET /faculty-app/css/style.css HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [03/Feb/2026:19:49:01 +0100] "POST /faculty-app/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Feb/2026:19:49:01 +0100] "GET /faculty-app/main HTTP/1.1" 200 2798
0:0:0:0:0:0:0:1 - - [03/Feb/2026:19:49:03 +0100] "GET /faculty-app/internship-posts HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/Feb/2026:19:54:23 +0100] "GET /company-app/main HTTP/1.1" 200 2845
0:0:0:0:0:0:0:1 - - [03/Feb/2026:19:54:28 +0100] "GET /company-app/ HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [03/Feb/2026:19:54:28 +0100] "GET /company-app/css/style.css HTTP/1.1" 404 785
