127.0.0.1 - - [25/Mar/2026:21:36:27 +0100] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [25/Mar/2026:21:37:02 +0100] "GET /company-app/ HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [25/Mar/2026:21:37:02 +0100] "GET /company-app/css/style.css HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [25/Mar/2026:21:37:02 +0100] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [25/Mar/2026:21:37:09 +0100] "POST /company-app/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Mar/2026:21:37:09 +0100] "GET /company-app/main HTTP/1.1" 200 2849
0:0:0:0:0:0:0:1 - - [25/Mar/2026:21:37:26 +0100] "GET /company-app/applications.jsp HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [25/Mar/2026:21:40:29 +0100] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [25/Mar/2026:21:40:36 +0100] "GET /company-app/applications.jsp HTTP/1.1" 200 1816
0:0:0:0:0:0:0:1 - - [25/Mar/2026:21:40:36 +0100] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [25/Mar/2026:21:42:32 +0100] "GET /company-app/applications.jsp HTTP/1.1" 200 2527
0:0:0:0:0:0:0:1 - - [25/Mar/2026:21:42:32 +0100] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [25/Mar/2026:21:44:45 +0100] "GET /company-app/applications.jsp HTTP/1.1" 200 2043
0:0:0:0:0:0:0:1 - - [25/Mar/2026:21:44:45 +0100] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [25/Mar/2026:21:44:47 +0100] "GET /company-app/reviewApplication.jsp?id=1 HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [25/Mar/2026:21:44:47 +0100] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [25/Mar/2026:21:45:50 +0100] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [25/Mar/2026:21:45:50 +0100] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [25/Mar/2026:21:45:51 +0100] "GET /company-app/reviewApplication.jsp?id=1 HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [25/Mar/2026:21:45:51 +0100] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [25/Mar/2026:21:58:33 +0100] "GET /company-app/reviewApplication.jsp?id=1 HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [25/Mar/2026:21:58:33 +0100] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [25/Mar/2026:22:09:20 +0100] "GET /company-app/reviewApplication.jsp?id=1 HTTP/1.1" 500 2284
0:0:0:0:0:0:0:1 - - [25/Mar/2026:22:09:20 +0100] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [25/Mar/2026:22:10:25 +0100] "GET /company-app/reviewApplication.jsp?id=1 HTTP/1.1" 500 7354
0:0:0:0:0:0:0:1 - - [25/Mar/2026:22:10:25 +0100] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [25/Mar/2026:22:11:30 +0100] "GET /company-app/reviewApplication.jsp?id=1 HTTP/1.1" 200 1867
0:0:0:0:0:0:0:1 - - [25/Mar/2026:22:11:30 +0100] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [25/Mar/2026:22:12:21 +0100] "GET /company-app/reviewApplication.jsp?id=1 HTTP/1.1" 200 2281
0:0:0:0:0:0:0:1 - - [25/Mar/2026:22:12:21 +0100] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [25/Mar/2026:22:12:25 +0100] "GET /company-app/null HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [25/Mar/2026:22:14:49 +0100] "GET /company-app/reviewApplication.jsp?id=1 HTTP/1.1" 200 2435
0:0:0:0:0:0:0:1 - - [25/Mar/2026:22:14:49 +0100] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [25/Mar/2026:22:14:58 +0100] "GET /company-app/internshipApplications.jsp HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [25/Mar/2026:22:14:58 +0100] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
