127.0.0.1 - - [02/Apr/2026:16:45:33 +0200] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [02/Apr/2026:16:45:59 +0200] "GET /company-app/evaluateStudent.jsp HTTP/1.1" 500 2487
0:0:0:0:0:0:0:1 - - [02/Apr/2026:16:45:59 +0200] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/Apr/2026:16:48:27 +0200] "GET /company-app/ HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [02/Apr/2026:16:48:27 +0200] "GET /company-app/css/style.css HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [02/Apr/2026:16:48:36 +0200] "POST /company-app/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2026:16:48:36 +0200] "GET /company-app/main HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [02/Apr/2026:16:49:12 +0200] "GET /company-app/evaluateStudent.jsp HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [02/Apr/2026:16:49:26 +0200] "GET /company-app/applications.jsp HTTP/1.1" 200 4830
0:0:0:0:0:0:0:1 - - [02/Apr/2026:16:54:44 +0200] "GET /company-app/applications.jsp HTTP/1.1" 200 5340
0:0:0:0:0:0:0:1 - - [02/Apr/2026:16:54:57 +0200] "GET /company-app/reviewApplication.jsp?id=4 HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [02/Apr/2026:16:55:05 +0200] "GET /company-app/reviewApplication.jsp?id=2 HTTP/1.1" 200 1985
0:0:0:0:0:0:0:1 - - [02/Apr/2026:16:55:37 +0200] "GET /company-app/reviewApplication.jsp?id=2 HTTP/1.1" 200 1985
0:0:0:0:0:0:0:1 - - [02/Apr/2026:16:58:40 +0200] "GET /company-app/reviewApplication.jsp?id=4 HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [02/Apr/2026:16:58:49 +0200] "GET /company-app/applications.jsp HTTP/1.1" 200 5461
0:0:0:0:0:0:0:1 - - [02/Apr/2026:16:58:49 +0200] "GET /company-app/applications.jsp HTTP/1.1" 200 5461
0:0:0:0:0:0:0:1 - - [02/Apr/2026:16:58:52 +0200] "GET /company-app/reviewApplication.jsp?id=2 HTTP/1.1" 200 1985
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:00:01 +0200] "GET /company-app/applications.jsp HTTP/1.1" 200 5461
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:00:04 +0200] "GET /company-app/applications.jsp HTTP/1.1" 200 5461
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:00:08 +0200] "GET /company-app/applications.jsp HTTP/1.1" 200 5461
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:00:10 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:00:29 +0200] "GET /company-app/applications.jsp HTTP/1.1" 200 5468
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:00:29 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:00:31 +0200] "GET /company-app/reviewStudentInternship.jsp?id=2 HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:00:31 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:14:43 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:14:44 +0200] "GET /company-app/applications.jsp HTTP/1.1" 200 5514
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:14:44 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:16:25 +0200] "GET /company-app/applications.jsp HTTP/1.1" 200 5514
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:16:25 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
